n    array                                                                  | BruteForce  MergeSort  Insertion  Hashing  BoyerMoore  QuickSort  DivideConq  Bitwise
512  [0, 1, 2, 3] ... [508, 509, 510, 511]                                  |     262144       4608        513       1024       1537     131328       1279       5130
512  [511, 510, 509, 508] ... [3, 2, 1, 0]                                  |     262144       4608        513       1024       1537     131328       1279       5130
512  [0, 1, 2, 3] ... [508, 509, 510, 511]                                  |     262144       4608        513       1024       1537      18327       1279       5130
512  [514, 1, 514, 3] ... [514, 509, 514, 511]                              |     262144       4608        513       1024       1537      66048       1279       5643
512  [514, 514, 514, 514] ... [1018, 1019, 1020, 1021]                      |        512       4608        513        514       1537     131328       1663       5643
512  [514, 514, 514, 514] ... [514, 514, 514, 514]                          |        512       4608        513        560       1537     106413       1299       6156
512  [2781, 3251, 4886, 3935] ... [3247, 4861, 3527, 3305]                  |     262144       4608        513       1024       1537       5506       1279       7182
512  [513, 513, 6946, 513] ... [7923, 6075, 513, 513]                       |        512       4608        513       1024       1537      35815       3692       7695
512  [513, 513, 513, 513] ... [15611, 15612, 15613, 15614]                  |        512       4608        513        514       1537     131328       1663       7695
512  [20480, 20481, 20482, 20483] ... [513, 513, 513, 513]                  |     131072       4608        513       1024       1537      49919       1663       8208
512  [256, 25641, 25856, 25881] ... [26056, 25910, 25761, 25862]            |     262144       4608        513       1024       1537       5352       1279       8208
512  [513, 513, 513, 513] ... [513, 513, 513, 513]                          |        512       4608        513        514       1537     131328       1023       5643
512  [0, 1, 2, 3] ... [508, 509, 510, 511]                                  |     262144       4608        513       1024       1537     131328       1279       5130
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
1024 []                                                                     |          0          0          0          0          1          0          0          0
1024 [0]                                                                    |          1          0          2          2          4          1          1          4
1024 [0, 1, 2, 3] ... [1020, 1021, 1022, 1023]                              |    1048576      10240       1025       2048       3073     524800       2559      11275
1024 [1025, 1240, 1025, 1025] ... [1025, 1399, 1100, 1025]                  |       1024      10240       1025       2042       3073     138125       7525      12300
1024 [1025, 1025, 1025, 1025] ... [1025, 1025, 1025, 1025]                  |       1024      10240       1025       1026       3073     524800       2047      12300
1024 [0, 1, 2, 3] ... [1020, 1021, 1022, 1023]                              |    1048576      10240       1025       2048       3073     524800       2559      11275
1024 [1023, 1022, 1021, 1020] ... [3, 2, 1, 0]                              |    1048576      10240       1025       2048       3073     524800       2559      11275
1024 [0, 1, 2, 3] ... [1020, 1021, 1022, 1023]                              |    1048576      10240       1025       2048       3073      84713       2559      11275
1024 [1026, 1, 1026, 3] ... [1026, 1021, 1026, 1023]                        |    1048576      10240       1025       2048       3073     263168       2559      12300
1024 [1026, 1026, 1026, 1026] ... [2042, 2043, 2044, 2045]                  |       1024      10240       1025       1026       3073     524800       3327      12300
1024 [1026, 1026, 1026, 1026] ... [1026, 1026, 1026, 1026]                  |       1024      10240       1025       1148       3073     425409       2560      13325
1024 [9320, 6598, 6260, 5342] ... [8133, 8140, 6572, 7731]                  |    1048576      10240       1025       2048       3073      11659       2559      15375
1024 [20350, 1025, 18556, 1025] ... [18681, 1025, 14392, 1025]              |       2048      10240       1025       2048       3073     137814       8256      16400
1024 [1025, 1025, 1025, 1025] ... [31227, 31228, 31229, 31230]              |       1024      10240       1025       1026       3073     524800       3327      16400
1024 [40960, 40961, 40962, 40963] ... [1025, 1025, 1025, 1025]              |     524288      10240       1025       2048       3073     198143       3327      17425
1024 [512, 51430, 52210, 51386] ... [52103, 51354, 51905, 52096]            |    1048576      10240       1025       2048       3073      12589       2559      17425
1024 [1025, 1025, 1025, 1025] ... [1025, 1025, 1025, 1025]                  |       1024      10240       1025       1026       3073     524800       2047      12300
1024 [0, 1, 2, 3] ... [1020, 1021, 1022, 1023]                              |    1048576      10240       1025       2048       3073     524800       2559      11275
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
2048 []                                                                     |          0          0          0          0          1          0          0          0
2048 [0]                                                                    |          1          0          2          2          4          1          1          4
2048 [0, 1, 2, 3] ... [2044, 2045, 2046, 2047]                              |    4194304      22528       2049       4096       6145    2098176       5119      24588
2048 [2049, 2132, 2568, 2977] ... [2049, 2049, 2505, 2157]                  |       2048      22528       2049       4090       6145     541215      16825      26637
2048 [2049, 2049, 2049, 2049] ... [2049, 2049, 2049, 2049]                  |       2048      22528       2049       2050       6145    2098176       4095      26637
2048 [0, 1, 2, 3] ... [2044, 2045, 2046, 2047]                              |    4194304      22528       2049       4096       6145    2098176       5119      24588
2048 [2047, 2046, 2045, 2044] ... [3, 2, 1, 0]                              |    4194304      22528       2049       4096       6145    2098176       5119      24588
2048 [0, 1, 2, 3] ... [2044, 2045, 2046, 2047]                              |    4194304      22528       2049       4096       6145      87784       5119      24588
2048 [2050, 1, 2050, 3] ... [2050, 2045, 2050, 2047]                        |    4194304      22528       2049       4096       6145    1050624       5119      26637
2048 [2050, 2050, 2050, 2050] ... [4090, 4091, 4092, 4093]                  |       2048      22528       2049       2050       6145    2098176       6655      26637
2048 [4110, 2050, 2050, 2050] ... [2050, 2050, 2050, 2050]                  |       4096      22528       2049       2286       6145    1701106       5141      28686
2048 [10003, 17841, 7572, 19187] ... [18794, 11140, 16522, 20438]           |    4194304      22528       2049       4096       6145      28304       5119      32784
2048 [2049, 2049, 2049, 28987] ... [39698, 2049, 2049, 2049]                |       2048      22528       2049       4096       6145     539362      17011      34833
2048 [2049, 2049, 2049, 2049] ... [62459, 62460, 62461, 62462]              |       2048      22528       2049       2050       6145    2098176       6655      34833
2048 [81920, 81921, 81922, 81923] ... [2049, 2049, 2049, 2049]              |    2097152      22528       2049       4096       6145     789503       6655      36882
2048 [1024, 103106, 103103, 104143] ... [102979, 103990, 103333, 104214]    |    4194304      22528       2049       4096       6145      26204       5119      36882
2048 [2049, 2049, 2049, 2049] ... [2049, 2049, 2049, 2049]                  |       2048      22528       2049       2050       6145    2098176       4095      26637
2048 [0, 1, 2, 3] ... [2044, 2045, 2046, 2047]                              |    4194304      22528       2049       4096       6145    2098176       5119      24588
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
4096 []                                                                     |          0          0          0          0          1          0          0          0
4096 [0]                                                                    |          1          0          2          2          4          1          1          4
4096 [0, 1, 2, 3] ... [4092, 4093, 4094, 4095]                              |   16777216      49152       4097       8192      12289    8390656      10239      53261
4096 [5598, 4097, 5878, 6136] ... [4563, 6071, 4097, 4097]                  |       8192      49152       4097       8190      12289    2135196      34571      57358
4096 [4097, 4097, 4097, 4097] ... [4097, 4097, 4097, 4097]                  |       4096      49152       4097       4098      12289    8390656       8191      57358
4096 [0, 1, 2, 3] ... [4092, 4093, 4094, 4095]                              |   16777216      49152       4097       8192      12289    8390656      10239      53261
4096 [4095, 4094, 4093, 4092] ... [3, 2, 1, 0]                              |   16777216      49152       4097       8192      12289    8390656      10239      53261
4096 [0, 1, 2, 3] ... [4092, 2778, 4094, 4095]                              |   16777216      49152       4097       8192      12289     156299      10239      53261
4096 [4098, 1, 4098, 3] ... [4098, 4093, 4098, 4095]                        |   16777216      49152       4097       8192      12289    4198400      10239      57358
4096 [4098, 4098, 4098, 4098] ... [8186, 8187, 8188, 8189]                  |       4096      49152       4097       4098      12289    8390656      13311      57358
4096 [4098, 4098, 4098, 4098] ... [4098, 4098, 4098, 4098]                  |       4096      49152       4097       4550      12289    6799708      10266      61455
4096 [33148, 39514, 39883, 35910] ... [40496, 20833, 33764, 18464]          |   16777216      49152       4097       8192      12289      60656      10239      69649
4096 [50637, 4097, 43412, 4097] ... [4097, 70248, 63580, 4097]              |       8192      49152       4097       8192      12289    2130598      35323      73746
4096 [4097, 4097, 4097, 4097] ... [124923, 124924, 124925, 124926]          |       4096      49152       4097       4098      12289    8390656      13311      73746
4096 [163840, 163841, 163842, 163843] ... [4097, 4097, 4097, 4097]          |    8388608      49152       4097       8192      12289    3151871      13311      77843
4096 [2048, 207883, 205783, 205927] ... [205973, 208594, 206215, 207751]    |   16777216      49152       4097       8192      12289      60406      10239      77843
4096 [4097, 4097, 4097, 4097] ... [4097, 4097, 4097, 4097]                  |       4096      49152       4097       4098      12289    8390656       8191      57358
4096 [0, 1, 2, 3] ... [4092, 4093, 4094, 4095]                              |   16777216      49152       4097       8192      12289    8390656      10239      53261
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
8192 []                                                                     |          0          0          0          0          1          0          0          0
8192 [0]                                                                    |          1          0          2          2          4          1          1          4
8192 [0, 1, 2, 3] ... [8188, 8189, 8190, 8191]                              |   67108864     106496       8193      16384      24577   33558528      20479     114702
8192 [8193, 9973, 10084, 8193] ... [9595, 8193, 8193, 8193]                 |       8192     106496       8193      16382      24577    8467919      67175     122895
8192 [8193, 8193, 8193, 8193] ... [8193, 8193, 8193, 8193]                  |       8192     106496       8193       8194      24577   33558528      16383     122895
8192 [0, 1, 2, 3] ... [8188, 8189, 8190, 8191]                              |   67108864     106496       8193      16384      24577   33558528      20479     114702
8192 [8191, 8190, 8189, 8188] ... [3, 2, 1, 0]                              |   67108864     106496       8193      16384      24577   33558528      20479     114702
8192 [0, 1, 2, 3] ... [8188, 8189, 8190, 8191]                              |   67108864     106496       8193      16384      24577     407622      20479     114702
8192 [8194, 1, 8194, 3] ... [8194, 8189, 8194, 8191]                        |   67108864     106496       8193      16384      24577   16785408      20479     122895
8192 [8194, 8194, 8194, 8194] ... [16378, 16379, 16380, 16381]              |       8192     106496       8193       8194      24577   33558528      26623     122895
8192 [8194, 16946, 8194, 8194] ... [8194, 8194, 8194, 8194]                 |       8192     106496       8193       9076      24577   27186521      20552     131088
8192 [72055, 71630, 73017, 40173] ... [29060, 43073, 60732, 50521]          |   67108864     106496       8193      16384      24577     129454      20479     147474
8192 [132891, 8193, 148533, 8193] ... [8193, 163382, 8193, 8193]            |      16384     106496       8193      16384      24577    8461507      68001     155667
8192 [8193, 8193, 8193, 8193] ... [249851, 249852, 249853, 249854]          |       8192     106496       8193       8194      24577   33558528      26623     155667
8192 [327680, 327681, 327682, 327683] ... [8193, 8193, 8193, 8193]          |   33554432     106496       8193      16384      24577   12595199      26623     163860
8192 [4096, 416389, 410968, 413045] ... [412262, 417767, 410188, 415101]    |   67108864     106496       8193      16384      24577     137865      20479     163860
8192 [8193, 8193, 8193, 8193] ... [8193, 8193, 8193, 8193]                  |       8192     106496       8193       8194      24577   33558528      16383     122895
8192 [0, 1, 2, 3] ... [8188, 8189, 8190, 8191]                              |   67108864     106496       8193      16384      24577   33558528      20479     114702
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
16384 []                                                                     |          0          0          0          0          1          0          0          0
16384 [0]                                                                    |          1          0          2          2          4          1          1          4
16384 [0, 1, 2, 3] ... [16380, 16381, 16382, 16383]                          |  268435456     229376      16385      32768      49153  134225920      40959     245775
16384 [16385, 16441, 16385, 16647] ... [16385, 16385, 16385, 21482]          |      16384     229376      16385      32764      49153   33721274     165259     262160
16384 [16385, 16385, 16385, 16385] ... [16385, 16385, 16385, 16385]          |      16384     229376      16385      16386      49153  134225920      32767     262160
16384 [0, 1, 2, 3] ... [16380, 16381, 16382, 16383]                          |  268435456     229376      16385      32768      49153  134225920      40959     245775
16384 [16383, 16382, 16381, 16380] ... [3, 2, 1, 0]                          |  268435456     229376      16385      32768      49153  134225920      40959     245775
16384 [12997, 1648, 2, 3] ... [16380, 16381, 16382, 16383]                   |  268435456     229376      16385      32768      49153    1090378      40959     245775
16384 [16386, 1, 16386, 3] ... [16386, 16381, 16386, 16383]                  |  268435456     229376      16385      32768      49153   67125248      40959     262160
16384 [16386, 16386, 16386, 16386] ... [32762, 32763, 32764, 32765]          |      16384     229376      16385      16386      49153  134225920      53247     262160
16384 [16386, 16386, 33936, 16386] ... [16386, 16386, 16386, 16386]          |      16384     229376      16385      18126      49153  108737234      41103     278545
16384 [127130, 60934, 123302, 116921] ... [107711, 130981, 114321, 117347]   |  268435456     229376      16385      32768      49153     279880      40959     311315
16384 [16385, 16385, 205851, 16385] ... [16385, 16385, 266597, 191005]       |      16384     229376      16385      32764      49153   33710410     159515     327700
16384 [16385, 16385, 16385, 16385] ... [499707, 499708, 499709, 499710]      |      16384     229376      16385      16386      49153  134225920      53247     327700
16384 [655360, 655361, 655362, 655363] ... [16385, 16385, 16385, 16385]      |  134217728     229376      16385      32768      49153   50356223      53247     344085
16384 [8192, 835521, 835026, 825156] ... [830439, 832202, 829071, 834602]    |  268435456     229376      16385      32768      49153     284419      40959     344085
16384 [16385, 16385, 16385, 16385] ... [16385, 16385, 16385, 16385]          |      16384     229376      16385      16386      49153  134225920      32767     262160
16384 [0, 1, 2, 3] ... [16380, 16381, 16382, 16383]                          |  268435456     229376      16385      32768      49153  134225920      40959     245775
----------------------------------------------------------------------------------------------------------------------------------------------------------------------

Majority elements found by each algorithm:
n    array                                                                  | BruteForce  MergeSort  Insertion  Hashing  BoyerMoore  QuickSort  DivideConq
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
4    []                                                                     |         -1         -1         -1         -1         -1         -1         -1         -1
4    [0]                                                                    |          0          0          0          0          0          0          0          0
